United States,602.3
Russian Federation,517.54
Iran Islamic Republic of,147.7
Qatar,142.34
Canada,137.54
China People's Republic of,108.89
Norway,94.96
Algeria,70.19
Saudi Arabia,69.52
Indonesia,65.67
Turkmenistan,65.18
Malaysia,58.82
Australia,52.9
Uzbekistan,50.27
Netherlands,50.13
Egypt,46.11
United Arab Emirates,43.89
Mexico,37.26
Nigeria,34.64
Trinidad and Tobago,34.29
United Kingdom,32.92
Argentina,32.51
Kazakhstan,31.26
Thailand,28.98
India,27.48
Oman,27.09
Pakistan,26.3
Bolivarian Republic of Venezuela,19.65
Bangladesh,19.44
Brazil,19.28
Plurinational State of Bolivia,18.4
Azerbaijan,16.19
Ukraine,15.02
Peru,13.16
Myanmar,12.78
Kuwait,12.27
Bahrain,12.2
Libya,10.17
Brunei Darussalam,9.91
Colombia,9.9
Viet Nam,8.92
Romania,8.76
Yemen,8.39
Germany,6.86
Israel,6.19
Italy,5.85
Iraq,5.52
New Zealand,4.38
Denmark,4.15
Syrian Arab Republic,3.97
Poland,3.73
Mozambique,3.47
Philippines,3.06
Japan,2.59
Tunisia,2.58
Côte d'Ivoire,1.65
Hungary,1.44
Croatia,1.44
Austria,1.08
Cuba,0.95
South Africa,0.87
Tanzania United Republic of,0.76
Chile,0.66
Ecuador,0.6
Angola,0.6
Cameroon,0.56
Serbia*,0.44
Turkey,0.39
Korea,0.29
Gabon,0.28
Chinese Taipei,0.27
Czech Republic,0.21
Republic of the Congo,0.2
Belarus,0.18
Bulgaria,0.16
Ireland,0.12
Jordan,0.1
Morocco,0.08
Slovak Republic,0.08
Senegal,0.04
Kyrgyzstan,0.03
Spain,0.02
Albania,0.02
Georgia,0.01
Greece,0.01
France,0.01
,2917.02
