Russian Federation,525.72
United States,431.57
Canada,154.58
Iran Islamic Republic of,91.84
Norway,76.49
Algeria,74.35
United Kingdom,71.99
Indonesia,64.81
Netherlands,55.38
Malaysia,54.57
Turkmenistan,51.5
Uzbekistan,51.09
China People's Republic of,48.99
Saudi Arabia,48.25
Qatar,45.87
Egypt,45.83
Mexico,43.14
United Arab Emirates,40.89
Argentina,40.22
Australia,36.06
Trinidad and Tobago,31.96
Pakistan,25.7
India,25.49
Nigeria,23.1
Oman,20.87
Bolivarian Republic of Venezuela,19.98
Thailand,19.04
Ukraine,17.68
Kazakhstan,16.72
Germany,14.91
Bangladesh,12.34
Libya,12.09
Brunei Darussalam,11.11
Plurinational State of Bolivia,11.05
Myanmar,10.63
Kuwait,10.13
Romania,9.56
Brazil,9.35
Denmark,9.32
Italy,8.99
Bahrain,8.87
Colombia,6.13
Viet Nam,6.09
Azerbaijan,5.1
Syrian Arab Republic,5.06
Poland,3.88
New Zealand,3.31
Japan,3.19
Philippines,2.53
Hungary,2.38
Mozambique,2.22
Croatia,2.22
Iraq,2.11
Tunisia,2.03
Peru,1.86
Israel,1.86
Austria,1.56
Chile,1.55
South Africa,1.55
Côte d'Ivoire,1.23
France,1.06
Cuba,0.87
Turkey,0.74
Angola,0.56
Ireland,0.41
Tanzania United Republic of,0.41
Korea,0.39
Bulgaria,0.37
Chinese Taipei,0.37
Ecuador,0.33
Serbia*,0.24
Jordan,0.19
Belarus,0.18
Slovak Republic,0.18
Czech Republic,0.15
Gabon,0.13
Spain,0.06
Morocco,0.05
Greece,0.03
Kyrgyzstan,0.02
Republic of the Congo,0.02
Georgia,0.02
Tajikistan,0.01
Senegal,0.01
Albania,0.01
,2444.7
