China People's Republic of,193.39
India,125.62
United States,93.32
Brazil,58.23
Nigeria,42.9
Indonesia,32.65
Canada,30.82
Ethiopia,17.59
Pakistan,16.25
France,15.5
Philippines,14.14
Japan,12.47
Viet Nam,10.81
Sweden,10.02
Mexico,9.93
Norway,9.74
Turkey,9.13
Thailand,9.04
Democratic Republic of Congo,8.32
Myanmar,8.07
Sudan*,7.82
Tanzania United Republic of,7.77
South Africa,7.45
Italy,6.75
Kenya,6.6
Bangladesh,6.18
Colombia,6.14
Germany,6.02
Mozambique,5.94
Australia,5.01
Finland,4.76
Nepal,4.7
Cuba,4.55
Peru,4.33
Zimbabwe,4.26
Zambia,4.11
Austria,4.01
Angola,3.84
Argentina,3.65
Switzerland,3.57
Sri Lanka,3.42
Cameroon,3.38
Ghana,3.29
New Zealand,3.25
Chile,2.88
Spain,2.67
Côte d'Ivoire,2.56
Guatemala,2.54
El Salvador,2.14
Bolivarian Republic of Venezuela,2
Romania,1.93
Korea Dem. People's Rep. of,1.85
Malaysia,1.8
Paraguay,1.74
Egypt,1.68
Haiti,1.61
Dominican Republic,1.59
Portugal,1.52
Honduras,1.39
Benin,1.3
Iceland,1.23
Poland,1.22
Ecuador,1.2
Uruguay,1.12
Nicaragua,1
Plurinational State of Bolivia,1
Senegal,0.91
Morocco,0.9
Togo,0.82
Denmark,0.79
Iran Islamic Republic of,0.72
Bulgaria,0.69
Gabon,0.68
Albania,0.65
Greece,0.65
Hungary,0.59
Costa Rica,0.57
Tunisia,0.55
Panama,0.54
Chinese Taipei,0.43
Republic of the Congo,0.42
United Kingdom,0.39
Botswana,0.39
Slovak Republic,0.28
Syrian Arab Republic,0.25
Jamaica,0.24
Korea,0.23
Lebanon,0.15
Czech Republic,0.14
Libya,0.13
Iraq,0.07
Ireland,0.07
Yemen,0.06
Netherlands,0.05
Hong Kong (China),0.04
Belgium,0.04
Trinidad and Tobago,0.03
Algeria,0.03
Luxembourg,0.02
Cyprus*,0.01
Brunei Darussalam,0.01
,899.25
