China People's Republic of,177.1
India,113.04
United States,67.49
Brazil,45.56
Nigeria,36.51
Indonesia,28.77
Canada,25.33
France,15.55
Ethiopia,15.44
Pakistan,13.27
Thailand,10.85
Viet Nam,9.55
Philippines,8.99
Mexico,8.57
Sweden,7.99
Turkey,7.99
Italy,7.34
Myanmar,7.27
Tanzania United Republic of,7.08
Democratic Republic of Congo,6.94
Norway,6.64
Japan,6.53
Sudan*,6.53
South Africa,5.92
Mozambique,5.92
Bangladesh,5.33
Colombia,5.29
Kenya,5.2
Australia,4.85
Germany,4.46
Nepal,4.11
Finland,4.1
Peru,4.03
Cuba,4.01
Zimbabwe,3.94
Spain,3.48
Angola,3.44
Zambia,3.4
Switzerland,3.26
Sri Lanka,3.06
Ghana,3.01
Cameroon,2.83
Austria,2.81
New Zealand,2.75
Guatemala,2.64
Argentina,2.48
Chile,2.15
Côte d'Ivoire,2.02
Romania,1.98
El Salvador,1.96
Korea Dem. People's Rep. of,1.68
Haiti,1.67
Malaysia,1.6
Egypt,1.54
Portugal,1.52
Bolivarian Republic of Venezuela,1.5
Paraguay,1.33
Dominican Republic,1.31
Honduras,1.17
Benin,1.13
Poland,1.12
Ecuador,1.04
Nicaragua,0.88
Senegal,0.87
Morocco,0.86
Togo,0.71
Iceland,0.68
Greece,0.62
Uruguay,0.58
Gabon,0.58
Albania,0.56
Bulgaria,0.54
Iran Islamic Republic of,0.53
Hungary,0.53
Tunisia,0.47
Panama,0.44
Costa Rica,0.41
Plurinational State of Bolivia,0.39
Slovak Republic,0.38
Republic of the Congo,0.36
Chinese Taipei,0.35
Denmark,0.34
United Kingdom,0.33
Jamaica,0.23
Netherlands,0.2
Lebanon,0.18
Czech Republic,0.17
Syrian Arab Republic,0.16
Libya,0.12
Korea,0.12
Yemen,0.06
Ireland,0.06
Iraq,0.06
Belgium,0.06
Trinidad and Tobago,0.04
Hong Kong (China),0.03
Algeria,0.03
Luxembourg,0.02
Cyprus*,0.01
Brunei Darussalam,0.01
,768.34
