China People's Republic of,190.49
India,123.84
United States,86.81
Brazil,53.45
Nigeria,41.77
Indonesia,31.79
Canada,29.38
Ethiopia,17.06
Pakistan,15.66
France,14.66
Philippines,13.26
Japan,11.89
Thailand,11.85
Viet Nam,10.65
Mexico,9.98
Turkey,9.23
Sweden,8.79
Norway,8.58
Democratic Republic of Congo,8.04
Myanmar,7.92
Tanzania United Republic of,7.6
Sudan*,7.48
South Africa,7.35
Italy,6.78
Kenya,6.34
Colombia,6.13
Germany,6.12
Mozambique,5.94
Bangladesh,5.89
Australia,5.17
Cuba,4.61
Nepal,4.6
Finland,4.41
Peru,4.32
Zimbabwe,4.16
Zambia,4.04
Austria,4.02
Angola,3.78
Switzerland,3.77
Argentina,3.43
Ghana,3.42
Sri Lanka,3.42
Cameroon,3.3
New Zealand,3.04
Chile,2.63
Spain,2.61
Guatemala,2.56
Côte d'Ivoire,2.54
El Salvador,2.25
Romania,2.08
Korea Dem. People's Rep. of,1.82
Bolivarian Republic of Venezuela,1.8
Malaysia,1.76
Egypt,1.75
Dominican Republic,1.73
Paraguay,1.65
Haiti,1.59
Portugal,1.38
Honduras,1.37
Benin,1.27
Iceland,1.16
Ecuador,1.13
Poland,1.13
Nicaragua,0.97
Plurinational State of Bolivia,0.96
Uruguay,0.91
Senegal,0.9
Morocco,0.89
Togo,0.8
Greece,0.76
Denmark,0.76
Iran Islamic Republic of,0.72
Bulgaria,0.67
Gabon,0.66
Albania,0.64
Panama,0.57
Hungary,0.57
Tunisia,0.53
Costa Rica,0.53
Chinese Taipei,0.42
Republic of the Congo,0.41
United Kingdom,0.39
Botswana,0.38
Slovak Republic,0.29
Syrian Arab Republic,0.26
Jamaica,0.25
Korea,0.17
Lebanon,0.16
Czech Republic,0.14
Libya,0.13
Iraq,0.07
Ireland,0.07
Yemen,0.06
Netherlands,0.06
Algeria,0.05
Hong Kong (China),0.04
Belgium,0.04
Trinidad and Tobago,0.03
Luxembourg,0.02
Cyprus*,0.01
Brunei Darussalam,0.01
,873.73
